spkid,full_name,pdes,name,class,H
20000354,   354 Eleonora (A893 BC),354,Eleonora,MBA,6.15
20000016,    16 Psyche (A852 FA),16,Psyche,MBA,6.2
20000471,   471 Papagena (A901 LA),471,Papagena,MBA,6.33
20000009,     9 Metis (A848 HA),9,Metis,MBA,6.34
20000018,    18 Melpomene (A852 MA),18,Melpomene,MBA,6.35
20000704,   704 Interamnia (A910 TC),704,Interamnia,MBA,6.35
20000089,    89 Julia (A866 PA),89,Julia,MBA,6.37
20000511,   511 Davida (A903 KB),511,Davida,MBA,6.4
20000014,    14 Irene (A851 KA),14,Irene,MBA,6.54
20000020,    20 Massalia (A852 SA),20,Massalia,MBA,6.54
20000040,    40 Harmonia (A856 FA),40,Harmonia,MBA,6.55
20000008,     8 Flora (A847 UA),8,Flora,MBA,6.61
20000052,    52 Europa (A858 CA),52,Europa,MBA,6.66
20000011,    11 Parthenope (A850 JA),11,Parthenope,MBA,6.73
20000196,   196 Philomela (A879 JA),196,Philomela,MBA,6.73
20000044,    44 Nysa (A857 KA),44,Nysa,MBA,6.75
20000092,    92 Undina (A867 NA),92,Undina,MBA,6.76
20000022,    22 Kalliope (A852 WA),22,Kalliope,MBA,6.8
20000451,   451 Patientia (A899 XA),451,Patientia,MBA,6.81
20000065,    65 Cybele (A861 EB),65,Cybele,OMB,6.83
20000031,    31 Euphrosyne (A854 RA),31,Euphrosyne,MBA,6.86
20000068,    68 Leto (A861 HB),68,Leto,MBA,6.9
20000013,    13 Egeria (A850 VA),13,Egeria,MBA,6.91
20000087,    87 Sylvia (A866 KA),87,Sylvia,OMB,6.95
20000005,     5 Astraea (A845 XA),5,Astraea,MBA,6.99
20000057,    57 Mnemosyne (A859 SA),57,Mnemosyne,MBA,7
20000129,   129 Antigone (A873 CA),129,Antigone,MBA,7.01
20000027,    27 Euterpe (A853 VA),27,Euterpe,MBA,7.04
20000216,   216 Kleopatra (A880 GB),216,Kleopatra,MBA,7.09
20000107,   107 Camilla (A868 WA),107,Camilla,OMB,7.11
20000063,    63 Ausonia (A861 CA),63,Ausonia,MBA,7.13
20000048,    48 Doris (A857 SA),48,Doris,MBA,7.14
20000023,    23 Thalia (A852 XA),23,Thalia,MBA,7.17
20000192,   192 Nausikaa (A879 DA),192,Nausikaa,MBA,7.21
20000069,    69 Hesperia (A861 HC),69,Hesperia,MBA,7.22
20000324,   324 Bamberga (A892 DA),324,Bamberga,MBA,7.23
20000024,    24 Themis (A853 GA),24,Themis,MBA,7.24
20000071,    71 Niobe (A861 PA),71,Niobe,MBA,7.24
20000028,    28 Bellona (A854 EA),28,Bellona,MBA,7.25
20000088,    88 Thisbe (A866 LA),88,Thisbe,MBA,7.27
20000012,    12 Victoria (A850 RA),12,Victoria,MBA,7.3
20000346,   346 Hermentaria (A892 WC),346,Hermentaria,MBA,7.36
20000624,   624 Hektor (A907 CF),624,Hektor,TJN,7.38
20000037,    37 Fides (A855 TB),37,Fides,MBA,7.39
20000423,   423 Diotima (A896 XA),423,Diotima,MBA,7.39
20000372,   372 Palma (A893 QB),372,Palma,MBA,7.4
20000121,   121 Hermione (A872 JA),121,Hermione,OMB,7.44
20000130,   130 Elektra (A873 DA),130,Elektra,MBA,7.47
20000674,   674 Rachele (A908 UK),674,Rachele,MBA,7.47
20000019,    19 Fortuna (A852 QA),19,Fortuna,MBA,7.49
20000702,   702 Alauda (A910 OA),702,Alauda,MBA,7.49
20000021,    21 Lutetia (A852 VA),21,Lutetia,MBA,7.5
20000375,   375 Ursula (A893 SB),375,Ursula,MBA,7.5
20000026,    26 Proserpina (A853 JA),26,Proserpina,MBA,7.52
20000230,   230 Athamantis (A882 RA),230,Athamantis,MBA,7.53
20000387,   387 Aquitania (A894 EC),387,Aquitania,MBA,7.53
20000030,    30 Urania (A854 OA),30,Urania,MBA,7.59
20000041,    41 Daphne (A856 KA),41,Daphne,MBA,7.61
20000148,   148 Gallia (A875 PA),148,Gallia,MBA,7.64
20000185,   185 Eunike (A878 EA),185,Eunike,MBA,7.64
20000334,   334 Chicago (A892 QB),334,Chicago,OMB,7.65
20000154,   154 Bertha (A875 VD),154,Bertha,MBA,7.67
20000096,    96 Aegle (A868 DA),96,Aegle,MBA,7.68
20000202,   202 Chryseis (A879 RA),202,Chryseis,MBA,7.68
20000409,   409 Aspasia (A895 XC),409,Aspasia,MBA,7.68
20000122,   122 Gerda (A872 OA),122,Gerda,OMB,7.69
20000250,   250 Bettina (A885 RA),250,Bettina,MBA,7.69
20000128,   128 Nemesis (A872 WA),128,Nemesis,MBA,7.7
20000042,    42 Isis (A856 KB),42,Isis,MBA,7.71
20000094,    94 Aurora (A867 RA),94,Aurora,MBA,7.72
20000051,    51 Nemausa (A858 BA),51,Nemausa,MBA,7.74
20000776,   776 Berbericia (A914 BE),776,Berbericia,MBA,7.74
20000061,    61 Danae (A860 RC),61,Danae,MBA,7.75
20000153,   153 Hilda (A875 VC),153,Hilda,OMB,7.75
20000221,   221 Eos (A882 BA),221,Eos,MBA,7.76
20000386,   386 Siegena (A894 EB),386,Siegena,MBA,7.76
20000032,    32 Pomona (A854 UA),32,Pomona,MBA,7.77
20000416,   416 Vaticana (A896 JA),416,Vaticana,MBA,7.77
20000045,    45 Eugenia (A857 MA),45,Eugenia,MBA,7.78
20000079,    79 Eurynome (A863 RA),79,Eurynome,MBA,7.78
20000100,   100 Hekate (A868 NA),100,Hekate,MBA,7.78
20000103,   103 Hera (A868 RA),103,Hera,MBA,7.78
20000064,    64 Angelina (A861 EA),64,Angelina,MBA,7.79
20000115,   115 Thyra (A871 PA),115,Thyra,MBA,7.79
20000241,   241 Germania (A884 RA),241,Germania,MBA,7.79
20000106,   106 Dione (A868 TA),106,Dione,MBA,7.8
20000116,   116 Sirona (A871 RA),116,Sirona,MBA,7.8
20000120,   120 Lachesis (A872 GB),120,Lachesis,MBA,7.82
20000165,   165 Loreley (A876 PA),165,Loreley,MBA,7.82
20000385,   385 Ilmatar (A894 EA),385,Ilmatar,MBA,7.83
20000097,    97 Klotho (A868 DB),97,Klotho,MBA,7.84
20000259,   259 Aletheia (A886 MA),259,Aletheia,MBA,7.84
20000055,    55 Pandora (A858 RB),55,Pandora,MBA,7.85
20000110,   110 Lydia (A870 HA),110,Lydia,MBA,7.86
20000194,   194 Prokne (A879 FA),194,Prokne,MBA,7.86
20000025,    25 Phocaea (A853 GB),25,Phocaea,MBA,7.87
20000488,   488 Kreusa (A902 MC),488,Kreusa,MBA,7.88
20000093,    93 Minerva (A867 QA),93,Minerva,MBA,7.9
20000760,   760 Massinga (A913 QD),760,Massinga,MBA,7.9
20000980,   980 Anacostia (A921 WG),980,Anacostia,MBA,7.9
20000190,   190 Ismene (A878 SA),190,Ismene,OMB,7.91
20000911,   911 Agamemnon (A919 FB),911,Agamemnon,TJN,7.91
20000017,    17 Thetis (A852 HA),17,Thetis,MBA,7.93
20000085,    85 Io (A865 SA),85,Io,MBA,7.95
20000043,    43 Ariadne (A857 GA),43,Ariadne,MBA,7.96
20000478,   478 Tergeste (A901 SC),478,Tergeste,MBA,7.96
20000054,    54 Alexandra (A858 RA),54,Alexandra,MBA,7.97
20000245,   245 Vera (A885 CA),245,Vera,MBA,7.97
20000595,   595 Polyxena (A906 FL),595,Polyxena,OMB,7.97
20000779,   779 Nina (A914 BH),779,Nina,MBA,7.97
20000108,   108 Hecuba (A869 GB),108,Hecuba,OMB,7.99
20000173,   173 Ino (A877 PA),173,Ino,MBA,7.99
20000389,   389 Industria (A894 EE),389,Industria,MBA,7.99
20000211,   211 Isolda (A879 XA),211,Isolda,MBA,8
20000095,    95 Arethusa (A867 WA),95,Arethusa,MBA,8.01
20000049,    49 Pales (A857 SB),49,Pales,MBA,8.02
20000076,    76 Freia (A862 UA),76,Freia,OMB,8.02
20000579,   579 Sidonia (A905 VK),579,Sidonia,MBA,8.03
20000747,   747 Winchester (A913 EK),747,Winchester,MBA,8.04
20000804,   804 Hispania (A915 FK),804,Hispania,MBA,8.04
20000080,    80 Sappho (A864 JA),80,Sappho,MBA,8.05
20000139,   139 Juewa (A874 TA),139,Juewa,MBA,8.06
20000133,   133 Cyrene (A873 QA),133,Cyrene,MBA,8.07
20000238,   238 Hypatia (A884 NA),238,Hypatia,MBA,8.07
20000444,   444 Gyptis (A899 FA),444,Gyptis,MBA,8.07
20000790,   790 Pretoria (A912 BE),790,Pretoria,OMB,8.07
20000124,   124 Alkeste (A872 QA),124,Alkeste,MBA,8.08
20000181,   181 Eucharis (A878 CB),181,Eucharis,MBA,8.09
20000059,    59 Elpis (A860 RA),59,Elpis,MBA,8.12
20000144,   144 Vibilia (A875 LA),144,Vibilia,MBA,8.12
20000536,   536 Merapi (A904 JF),536,Merapi,OMB,8.14
20000675,   675 Ludmilla (A908 QH),675,Ludmilla,MBA,8.15
20000690,   690 Wratislavia (A909 UE),690,Wratislavia,MBA,8.17
20000047,    47 Aglaja (A857 RA),47,Aglaja,MBA,8.18
20000117,   117 Lomia (A871 RB),117,Lomia,MBA,8.18
20000308,   308 Polyxo (A891 FA),308,Polyxo,MBA,8.18
20000247,   247 Eukrate (A885 EB),247,Eukrate,MBA,8.19
20000849,   849 Ara (A915 UB),849,Ara,MBA,8.19
20001437,  1437 Diomedes (1937 PB),1437,Diomedes,TJN,8.19
20000070,    70 Panopaea (A861 JA),70,Panopaea,MBA,8.2
20001172,  1172 Aneas (1930 UA),1172,Aneas,TJN,8.2
20000566,   566 Stereoskopia (A905 KA),566,Stereoskopia,OMB,8.22
20000111,   111 Ate (A870 PA),111,Ate,MBA,8.23
20000236,   236 Honoria (A884 HA),236,Honoria,MBA,8.24
20000617,   617 Patroclus (A906 UL),617,Patroclus,TJN,8.25
20000082,    82 Alkmene (A864 WA),82,Alkmene,MBA,8.26
20000588,   588 Achilles (A906 DN),588,Achilles,TJN,8.26
20000179,   179 Klytaemnestra (A877 VC),179,Klytaemnestra,MBA,8.27
20000480,   480 Hansa (A901 KB),480,Hansa,MBA,8.28
20000485,   485 Genua (A902 JC),485,Genua,MBA,8.28
20000168,   168 Sibylla (A876 SA),168,Sibylla,OMB,8.29
20000258,   258 Tyche (A886 JA),258,Tyche,MBA,8.3
20000264,   264 Libussa (A886 YA),264,Libussa,MBA,8.3
20000287,   287 Nephthys (A889 QA),287,Nephthys,MBA,8.3
20000159,   159 Aemilia (A876 BA),159,Aemilia,MBA,8.31
20000209,   209 Dido (A879 UC),209,Dido,MBA,8.31
20000344,   344 Desiderata (A892 WA),344,Desiderata,MBA,8.31
20000078,    78 Diana (A863 EA),78,Diana,MBA,8.34
20000895,   895 Helio (A918 NA),895,Helio,OMB,8.34
20000420,   420 Bertholda (A896 RC),420,Bertholda,OMB,8.35
20001867,  1867 Deiphobus (1971 EA),1867,Deiphobus,TJN,8.35
20000135,   135 Hertha (A874 DA),135,Hertha,MBA,8.36
20000137,   137 Meliboea (A874 HA),137,Meliboea,MBA,8.36
20000639,   639 Latona (A907 OA),639,Latona,MBA,8.36
20000152,   152 Atala (A875 VB),152,Atala,MBA,8.38
20000356,   356 Liguria (A893 BE),356,Liguria,MBA,8.38
20000516,   516 Amherstia (A903 SG),516,Amherstia,MBA,8.38
20000119,   119 Althaea (A872 GA),119,Althaea,MBA,8.39
20000141,   141 Lumen (A875 AA),141,Lumen,MBA,8.39
20000184,   184 Dejopeja (A878 DA),184,Dejopeja,MBA,8.39
20000361,   361 Bononia (A893 EF),361,Bononia,OMB,8.39
20000187,   187 Lamberta (A878 GB),187,Lamberta,MBA,8.4
20000381,   381 Myrrha (A894 AC),381,Myrrha,OMB,8.4
20000508,   508 Princetonia (A903 HC),508,Princetonia,MBA,8.4
20000758,   758 Mancunia (A912 KB),758,Mancunia,MBA,8.4
20000067,    67 Asia (A861 HA),67,Asia,MBA,8.41
20000101,   101 Helena (A868 PA),101,Helena,MBA,8.42
20000393,   393 Lampetia (A894 VC),393,Lampetia,MBA,8.42
20003317,  3317 Paris (1984 KF),3317,Paris,TJN,8.42
20000145,   145 Adeona (A875 LB),145,Adeona,MBA,8.43
20000509,   509 Iolanda (A903 HD),509,Iolanda,MBA,8.43
20000563,   563 Suleika (A905 GD),563,Suleika,MBA,8.43
20001143,  1143 Odysseus (1930 BH),1143,Odysseus,TJN,8.43
20000090,    90 Antiope (A866 TA),90,Antiope,MBA,8.44
20000174,   174 Phaedra (A877 RA),174,Phaedra,MBA,8.44
20000466,   466 Tisiphone (A901 BB),466,Tisiphone,OMB,8.44
20000483,   483 Seppina (A902 EJ),483,Seppina,OMB,8.44
20000487,   487 Venetia (A902 NC),487,Venetia,MBA,8.44
20000176,   176 Iduna (A877 TB),176,Iduna,MBA,8.45
20000200,   200 Dynamene (A879 OA),200,Dynamene,MBA,8.46
20000233,   233 Asterope (A883 JA),233,Asterope,MBA,8.46
20000410,   410 Chloris (A896 AC),410,Chloris,MBA,8.46
20000762,   762 Pulcova (A913 RD),762,Pulcova,MBA,8.46
20000772,   772 Tanete (A913 YD),772,Tanete,MBA,8.46
20000114,   114 Kassandra (A871 OA),114,Kassandra,MBA,8.47
20000350,   350 Ornamenta (A892 XC),350,Ornamenta,MBA,8.47
20003451,  3451 Mentor (1984 HA1),3451,Mentor,TJN,8.47
20000705,   705 Erminia (A910 TE),705,Erminia,MBA,8.48
20000038,    38 Leda (A856 AA),38,Leda,MBA,8.49
20000140,   140 Siwa (A874 TB),140,Siwa,MBA,8.49
20000584,   584 Semiramis (A906 AC),584,Semiramis,MBA,8.49
20000212,   212 Medea (A880 CA),212,Medea,MBA,8.5
20000033,    33 Polyhymnia (A854 UB),33,Polyhymnia,MBA,8.51
20000199,   199 Byblis (A879 NA),199,Byblis,MBA,8.51
20000146,   146 Lucina (A875 LC),146,Lucina,MBA,8.52
20000360,   360 Carlova (A893 EE),360,Carlova,MBA,8.52
20000925,   925 Alphonsina (A920 AA),925,Alphonsina,MBA,8.52
20000056,    56 Melete (A857 RB),56,Melete,MBA,8.54
20000104,   104 Klymene (A868 RB),104,Klymene,MBA,8.54
20002241,  2241 Alcathous (1979 WM),2241,Alcathous,TJN,8.54
20000046,    46 Hestia (A857 QA),46,Hestia,MBA,8.55
20000198,   198 Ampella (A879 LA),198,Ampella,MBA,8.55
20000113,   113 Amalthea (A871 EA),113,Amalthea,MBA,8.56
20000127,   127 Johanna (A872 VB),127,Johanna,MBA,8.57
20000419,   419 Aurelia (A896 RF),419,Aurelia,MBA,8.57
20000426,   426 Hippo (A897 RA),426,Hippo,MBA,8.57
20000618,   618 Elfriede (A906 UM),618,Elfriede,MBA,8.57
20003063,  3063 Makhaon (1983 PV),3063,Makhaon,TJN,8.57
20000201,   201 Penelope (A879 PA),201,Penelope,MBA,8.58
20000036,    36 Atalante (A855 TA),36,Atalante,MBA,8.59
20000150,   150 Nuwa (A875 UA),150,Nuwa,MBA,8.59
20000338,   338 Budrosa (A892 SF),338,Budrosa,MBA,8.59
20000712,   712 Boliviana (A911 FF),712,Boliviana,MBA,8.59
20001583,  1583 Antilochus (1950 SA),1583,Antilochus,TJN,8.59
20000276,   276 Adelheid (A888 HA),276,Adelheid,MBA,8.61
20000279,   279 Thule (A888 UA),279,Thule,OMB,8.61
20000654,   654 Zelinda (A908 AM),654,Zelinda,MBA,8.61
20000077,    77 Frigga (A862 VA),77,Frigga,MBA,8.62
20000489,   489 Comacina (A902 RD),489,Comacina,MBA,8.62
20000521,   521 Brixia (A904 AE),521,Brixia,MBA,8.62
20000268,   268 Adorea (A887 LA),268,Adorea,MBA,8.63
20004709,  4709 Ennomos (1988 TU2),4709,Ennomos,TJN,8.63
20000171,   171 Ophelia (A877 AB),171,Ophelia,MBA,8.64
20000246,   246 Asporina (A885 EA),246,Asporina,MBA,8.64
20000060,    60 Echo (A860 RB),60,Echo,MBA,8.65
20000175,   175 Andromache (A877 TA),175,Andromache,MBA,8.65
20000369,   369 Aeria (A893 NA),369,Aeria,MBA,8.65
20000631,   631 Philippina (A907 FD),631,Philippina,MBA,8.65
20000884,   884 Priamus (A917 SU),884,Priamus,TJN,8.65
20000441,   441 Bathilde (A898 XA),441,Bathilde,MBA,8.66
20000665,   665 Sabine (A908 OE),665,Sabine,MBA,8.66
20000366,   366 Vincentina (A893 FG),366,Vincentina,MBA,8.69
20000469,   469 Argentina (A901 DC),469,Argentina,MBA,8.69
20000035,    35 Leukothea (A855 HA),35,Leukothea,MBA,8.7
20000218,   218 Bianca (A880 RA),218,Bianca,MBA,8.7
20000490,   490 Veritas (A902 RE),490,Veritas,MBA,8.7
20000602,   602 Marianna (A906 DJ),602,Marianna,MBA,8.7
20000081,    81 Terpsichore (A864 SA),81,Terpsichore,MBA,8.71
20000476,   476 Hedwig (A901 QB),476,Hedwig,MBA,8.71
20000086,    86 Semele (A866 AA),86,Semele,MBA,8.72
20000266,   266 Aline (A887 KA),266,Aline,MBA,8.72
20000388,   388 Charybdis (A894 ED),388,Charybdis,MBA,8.72
20000172,   172 Baucis (A877 CA),172,Baucis,MBA,8.73
20000599,   599 Luisa (A906 HF),599,Luisa,MBA,8.73
20004063,  4063 Euforbo (1989 CG2),4063,Euforbo,TJN,8.73
20000224,   224 Oceana (A882 FA),224,Oceana,MBA,8.74
20000659,   659 Nestor (A908 FE),659,Nestor,TJN,8.74
20000083,    83 Beatrix (A865 HA),83,Beatrix,MBA,8.75
20000105,   105 Artemis (A868 SA),105,Artemis,MBA,8.75
20000814,   814 Tauris (A916 AE),814,Tauris,MBA,8.75
20000147,   147 Protogeneia (A875 NA),147,Protogeneia,MBA,8.76
20000371,   371 Bohemia (A893 OA),371,Bohemia,MBA,8.76
20000034,    34 Circe (A855 GA),34,Circe,MBA,8.77
20000505,   505 Cava (A902 QA),505,Cava,MBA,8.77
20000909,   909 Ulla (A919 CA),909,Ulla,OMB,8.77
20000306,   306 Unitas (A891 EA),306,Unitas,MBA,8.79
20000537,   537 Pauly (A904 NB),537,Pauly,MBA,8.79
20000788,   788 Hohensteina (A914 HE),788,Hohensteina,MBA,8.79
20001269,  1269 Rollandia (1930 SH),1269,Rollandia,OMB,8.79
20000283,   283 Emma (A889 CA),283,Emma,MBA,8.8
20000382,   382 Dodona (A894 BB),382,Dodona,MBA,8.8
20001467,  1467 Mashona (1938 OE),1467,Mashona,OMB,8.8
20000164,   164 Eva (A876 NA),164,Eva,MBA,8.81
20000374,   374 Burgundia (A893 SA),374,Burgundia,MBA,8.81
20003793,  3793 Leonteus (1985 TE3),3793,Leonteus,TJN,8.81
20000405,   405 Thia (A895 OB),405,Thia,MBA,8.82
20000156,   156 Xanthippe (A875 WA),156,Xanthippe,MBA,8.83
20000225,   225 Henrietta (A882 HA),225,Henrietta,OMB,8.83
20000481,   481 Emita (A902 CB),481,Emita,MBA,8.83
20000545,   545 Messalina (A904 TC),545,Messalina,OMB,8.83
20002797,  2797 Teucer (1981 LK),2797,Teucer,TJN,8.84
20000683,   683 Lanzia (A909 OA),683,Lanzia,MBA,8.85
20000305,   305 Gordonia (A891 DA),305,Gordonia,MBA,8.87
20000446,   446 Aeternitas (A899 UB),446,Aeternitas,MBA,8.87
20000739,   739 Mandeville (A913 CH),739,Mandeville,MBA,8.87
20000498,   498 Tokio (A902 XA),498,Tokio,MBA,8.88
20002920,  2920 Automedon (1981 JR),2920,Automedon,TJN,8.88
20000472,   472 Roma (A901 NA),472,Roma,MBA,8.89
20000570,   570 Kythera (A905 OF),570,Kythera,OMB,8.9
20000786,   786 Bredichina (A914 HD),786,Bredichina,MBA,8.9
20000270,   270 Anahita (A887 TA),270,Anahita,MBA,8.91
20000053,    53 Kalypso (A858 GA),53,Kalypso,MBA,8.92
20000062,    62 Erato (A860 RD),62,Erato,MBA,8.93
20000074,    74 Galatea (A862 QA),74,Galatea,MBA,8.93
20000399,   399 Persephone (A895 DD),399,Persephone,MBA,8.93
20000118,   118 Peitho (A872 EA),118,Peitho,MBA,8.94
20000203,   203 Pompeja (A879 SA),203,Pompeja,MBA,8.94
20000206,   206 Hersilia (A879 TC),206,Hersilia,MBA,8.94
20000482,   482 Petrina (A902 EH),482,Petrina,MBA,8.94
20002207,  2207 Antenor (1977 QH1),2207,Antenor,TJN,8.94
20000596,   596 Scheila (A906 DL),596,Scheila,MBA,8.95
20000737,   737 Arequipa (A912 XC),737,Arequipa,MBA,8.95
20000751,   751 Faina (A913 HE),751,Faina,MBA,8.95
20001173,  1173 Anchises (1930 UB),1173,Anchises,TJN,8.95
20000325,   325 Heidelberga (A892 EA),325,Heidelberga,OMB,8.96
20000455,   455 Bruchsalia (A900 KC),455,Bruchsalia,MBA,8.96
20000098,    98 Ianthe (A868 HA),98,Ianthe,MBA,8.97
20000125,   125 Liberatrix (A872 RA),125,Liberatrix,MBA,8.97
20000134,   134 Sophrosyne (A873 SA),134,Sophrosyne,MBA,8.97
20000337,   337 Devosa (A892 SB),337,Devosa,MBA,8.97
20000235,   235 Carolina (A883 WA),235,Carolina,MBA,8.99
20000312,   312 Pierretta (A891 QA),312,Pierretta,MBA,8.99
20000582,   582 Olympia (A906 BM),582,Olympia,MBA,8.99
20000780,   780 Armenia (A914 BJ),780,Armenia,MBA,8.99
20000109,   109 Felicitas (A869 TA),109,Felicitas,MBA,9
20000506,   506 Marion (A903 DB),506,Marion,MBA,9
20000692,   692 Hippodamia (A901 VJ),692,Hippodamia,OMB,9
20002357,  2357 Phereclos (1981 AC),2357,Phereclos,TJN,9
20000123,   123 Brunhild (A872 OB),123,Brunhild,MBA,9.01
20000204,   204 Kallisto (A879 TA),204,Kallisto,MBA,9.01
20000357,   357 Ninina (A893 CB),357,Ninina,MBA,9.01
20000714,   714 Ulula (A911 KG),714,Ulula,MBA,9.01
20002363,  2363 Cebriones (1977 TJ3),2363,Cebriones,TJN,9.01
20002893,  2893 Peiroos (1975 QD),2893,Peiroos,TJN,9.01
20000328,   328 Gudrun (A892 FF),328,Gudrun,MBA,9.02
20000347,   347 Pariana (A892 WD),347,Pariana,MBA,9.02
20000138,   138 Tolosa (A874 KA),138,Tolosa,MBA,9.03
20001021,  1021 Flammario (A924 EW),1021,Flammario,MBA,9.03
20000058,    58 Concordia (A860 FA),58,Concordia,MBA,9.04
20000491,   491 Carina (A902 RG),491,Carina,MBA,9.04
